time,open,high,low,close
2021-01-21T21:30:00Z,433.36,433.36,424.12,427.35
2021-01-24T21:30:00Z,427.41,431.76,426.5,431.53
2021-01-25T21:30:00Z,431.49,434.99,429.27,433.62
2021-01-26T21:30:00Z,433.84,436.28,429.24,432.53
2021-01-27T21:30:00Z,433.31,437.78,429.16,430.6
2021-01-28T21:30:00Z,430.55,436.31,429.15,431.27
2021-01-31T21:30:00Z,430.99,437.84,430.99,437.65
2021-02-01T21:30:00Z,437.28,443.21,436.95,440.89
2021-02-02T21:30:00Z,441,447,440.78,445.56
2021-02-03T21:30:00Z,445.62,447.78,442.84,447.42
2021-02-04T21:30:00Z,447.25,453.21,447.25,450.8
2021-02-07T21:30:00Z,450.68,458.4,450.68,457.8
2021-02-08T21:30:00Z,457.79,461.4,455.64,459.73
2021-02-09T21:30:00Z,459.72,460.96,457.48,459.57
2021-02-10T21:30:00Z,459.56,461.24,456.59,457.87
2021-02-11T21:30:00Z,458.74,465.28,455.14,464.29
2021-02-15T21:30:00Z,463.95,471.15,463.95,470.36
2021-02-16T21:30:00Z,470.27,474.93,467.8,473.14
2021-02-17T21:30:00Z,473.15,478.22,470.13,472.09
2021-02-18T21:30:00Z,472.78,475.47,465.39,469.26
2021-02-21T21:30:00Z,470.09,480.96,470.09,480.57
2021-02-22T21:30:00Z,480.9,487.2,476.18,481.89
2021-02-23T21:30:00Z,481.16,489.8,478.38,489.04
2021-02-24T21:30:00Z,489.3,493.1,485.66,488.5
2021-02-25T21:30:00Z,488.49,488.49,476.5,477.24
2021-02-28T21:30:00Z,476.99,483.82,470.17,471.97
2021-03-01T21:30:00Z,472.62,476.76,466.45,472.15
2021-03-02T21:30:00Z,471.96,477.05,470.77,474.55
2021-03-03T21:30:00Z,474.61,486.48,468.61,481.38
2021-03-04T21:30:00Z,481.37,492.7,479.78,491.6
2021-03-07T21:30:00Z,491.49,500.9,486.01,487.78
2021-03-08T21:30:00Z,487.77,491.32,483.26,485.07
2021-03-09T21:30:00Z,485.06,487.5,480.43,485.66
2021-03-10T21:30:00Z,485.65,493.71,485.65,493.54
2021-03-11T21:30:00Z,493.41,494.3,490.52,492.03
2021-03-14T20:30:00Z,492.22,495.55,487.24,491.58
2021-03-15T20:30:00Z,491.91,492.26,485.79,489.94
2021-03-16T20:30:00Z,490.18,492.38,485.12,488.51
2021-03-17T20:30:00Z,488.61,489.67,467.45,467.83
2021-03-18T20:30:00Z,469.28,476.43,464.44,475.24
2021-03-21T20:30:00Z,475.1,477.38,470.48,475.88
2021-03-22T20:30:00Z,475.63,475.65,459.95,461.26
2021-03-23T20:30:00Z,461.39,474.69,459.11,473.64
2021-03-24T20:30:00Z,474.22,474.22,458.32,461.89
2021-03-25T20:30:00Z,462.3,475.32,462.3,473.93
2021-03-28T20:30:00Z,474.01,476.42,467.72,474.37
2021-03-29T20:30:00Z,474.58,476.52,467.52,468.61
2021-03-30T20:30:00Z,468.96,473.92,466.46,467.59
2021-03-31T20:30:00Z,467.41,475.29,466.14,473.6
2021-04-04T20:30:00Z,474.02,474.36,460.93,464.54
2021-04-05T20:30:00Z,464.33,475.09,464.33,468.53
2021-04-06T20:30:00Z,468.57,471.08,464.22,469.92
2021-04-07T20:30:00Z,469.91,473.63,468.1,472.6
2021-04-08T20:30:00Z,472.59,473.8,470.08,471.03
2021-04-11T20:30:00Z,471.13,475.83,467.9,470.42
2021-04-12T20:30:00Z,470.41,475.52,469.94,473.74
2021-04-13T20:30:00Z,473.73,488.54,473.71,486.77
2021-04-14T20:30:00Z,487.52,490.42,485.98,489.82
2021-04-15T20:30:00Z,490.15,492.14,488.31,488.76
2021-04-18T20:30:00Z,488.72,491.99,486.92,490.88
2021-04-19T20:30:00Z,490.87,495.48,485.44,489.24
2021-04-20T20:30:00Z,489.32,490.51,483.39,486.54
2021-04-21T20:30:00Z,487.19,491.2,484.7,490.76
2021-04-22T20:30:00Z,490.26,494.8,489.27,494.35
2021-04-25T20:30:00Z,494.1,498.94,491.17,497.89
2021-04-26T20:30:00Z,497.81,503.69,497.81,502.24
2021-04-27T20:30:00Z,501.96,509.27,498.33,504.08
2021-04-28T20:30:00Z,504.92,512.01,504.04,508.75
2021-04-29T20:30:00Z,508.65,508.66,501.84,505.91
2021-05-02T20:30:00Z,505.85,511.55,504.95,509.72
2021-05-03T20:30:00Z,509.63,517.68,509.63,516.55
2021-05-04T20:30:00Z,516.52,521.43,516.52,518.59
2021-05-05T20:30:00Z,519.21,522.17,516.43,518.93
2021-05-06T20:30:00Z,518.92,523.81,517.93,522.77
2021-05-09T20:30:00Z,523.13,527.47,517.49,520.94
2021-05-10T20:30:00Z,520.93,525.37,517.12,524.55
2021-05-11T20:30:00Z,524.54,530.5,524.43,526.8
2021-05-12T20:30:00Z,526.79,526.79,509.34,511.53
2021-05-13T20:30:00Z,511.52,517.89,509.25,515.07
2021-05-16T20:30:00Z,515,521.48,514.2,521.02
2021-05-17T20:30:00Z,520.92,525.92,514.46,519.58
2021-05-18T20:30:00Z,519.43,519.43,501.59,507.44
2021-05-19T20:30:00Z,507.45,510.74,501.42,502.55
2021-05-20T20:30:00Z,502.4294,508.3179,499.3808,506.3906
2021-05-23T20:30:00Z,506.4006,514.6968,504.7458,514.2601
2021-05-24T20:30:00Z,514.25,516.2186,511.4894,512.5244
2021-05-25T20:30:00Z,512.5143,515.3062,508.7388,513.8867
2021-05-26T20:30:00Z,513.8967,521.1921,511.6271,521.1257
2021-05-27T20:30:00Z,521.1156,523.4326,518.7508,519.2378
2021-05-31T20:30:00Z,519.2278,534.0431,519.2278,528.0727
2021-06-01T20:30:00Z,528.0827,531.8252,527.8384,531.2396
2021-06-02T20:30:00Z,531.2296,534.775,524.7272,527.0465
2021-06-03T20:30:00Z,527.0365,534.3156,525.5039,533.7298
2021-06-06T20:30:00Z,532.2619,535.6789,529.329,529.6597
2021-06-07T20:30:00Z,528.5148,533.4179,526.5323,532.7306
2021-06-08T20:30:00Z,531.6528,534.218,529.2112,531.9255
2021-06-09T20:30:00Z,530.776,533.8401,525.9473,532.6056
2021-06-10T20:30:00Z,531.5351,533.5593,529.425,532.0151
2021-06-13T20:30:00Z,532.0251,532.5131,528.5445,529.5158
2021-06-14T20:30:00Z,529.5258,530.9689,526.8317,529.6908
2021-06-15T20:30:00Z,529.6808,533.805,528.6645,529.9911
2021-06-16T20:30:00Z,529.9811,529.9811,512.2907,515.5154
2021-06-17T20:30:00Z,515.5054,521.5638,512.8952,520.0216
2021-06-20T20:30:00Z,520.0316,525.8247,515.3941,525.5129
2021-06-21T20:30:00Z,525.5228,528.2691,523.3251,525.3563
2021-06-22T20:30:00Z,525.3462,532.8204,525.2045,528.3558
2021-06-23T20:30:00Z,528.3457,528.8053,523.1019,528.6445
2021-06-24T20:30:00Z,528.6238,530.9518,524.3745,529.9753
2021-06-27T20:30:00Z,529.9653,531.9119,527.9177,528.854
2021-06-28T20:30:00Z,528.864,534.3394,524.5825,530.0195
2021-06-29T20:30:00Z,530.0295,538.1569,527.9773,535.9855
2021-06-30T20:30:00Z,535.9755,548.1494,535.5505,540.516
2021-07-01T20:30:00Z,540.526,543.0294,537.6248,541.4666
2021-07-05T20:30:00Z,541.4566,549.5075,527.4145,528.8221
2021-07-06T20:30:00Z,528.8321,536.5394,519.1343,523.8284
2021-07-07T20:30:00Z,523.1523,525.6993,517.5462,524.9529
2021-07-08T20:30:00Z,524.2829,532.5196,523.4435,531.7683
2021-07-11T20:30:00Z,531.0875,532.4345,525.1807,531.7616
2021-07-12T20:30:00Z,531.115,537.5997,529.1847,536.7068
2021-07-13T20:30:00Z,536.0963,538.7239,528.0961,531.4216
2021-07-14T20:30:00Z,531.4315,531.4354,525.2393,527.3295
2021-07-15T20:30:00Z,527.3395,530.6545,523.8256,528.1844
2021-07-18T20:30:00Z,528.1744,528.1744,504.3517,506.4987
2021-07-19T20:30:00Z,506.5087,513.4881,504.0913,512.6392
2021-07-20T20:30:00Z,512.6292,525.9189,509.6657,525.4522
2021-07-21T20:30:00Z,525.4422,532.1167,522.5134,531.6957
2021-07-22T20:30:00Z,531.6856,533.1802,530.5304,532.4933
2021-07-25T20:30:00Z,532.4833,536.2514,526.2349,535.338
2021-07-26T20:30:00Z,535.328,537.7866,531.0806,532.9326
2021-07-27T20:30:00Z,532.9226,536.6015,532.7054,535.568
2021-07-28T20:30:00Z,535.578,543.4413,535.1468,543.3273
2021-07-29T20:30:00Z,543.3373,543.3373,538.6937,541.139
2021-08-01T20:30:00Z,541.1289,541.2612,530.7,533.4648
2021-08-02T20:30:00Z,533.4548,535.0255,524.2778,530.1606
2021-08-03T20:30:00Z,530.1506,532.1938,521.1215,521.9146
2021-08-04T20:30:00Z,521.9046,527.7208,519.5254,526.0345
2021-08-05T20:30:00Z,525.612,529.6724,520.6671,522.3483
2021-08-08T20:30:00Z,522.0897,522.0897,508.5736,512.5185
2021-08-09T20:30:00Z,512.3716,523.3355,512.3555,521.3405
2021-08-10T20:30:00Z,521.0655,525.3658,515.5437,525.0665
2021-08-11T20:30:00Z,524.7968,528.4711,520.7202,525.8777
2021-08-12T20:30:00Z,525.8677,528.3994,522.0931,524.7547
2021-08-15T20:30:00Z,524.7447,524.7447,515.0235,520.5332
2021-08-16T20:30:00Z,520.5232,522.1001,514.4669,515.4407
2021-08-17T20:30:00Z,515.4307,518.4047,509.6468,511.283
2021-08-18T20:30:00Z,511.293,511.293,496.7966,500.3895
2021-08-19T20:30:00Z,500.3995,503.0393,493.9939,494.4393
2021-08-22T20:30:00Z,494.4292,511.4698,494.4292,510.6597
2021-08-23T20:30:00Z,510.6497,520.5911,509.5968,520.1149
2021-08-24T20:30:00Z,520.1048,524.7943,517.1864,524.3153
2021-08-25T20:30:00Z,524.3253,525.04,520.0767,521.5775
2021-08-26T20:30:00Z,521.5875,529.2918,521.5875,529.0891
2021-08-29T20:30:00Z,529.0991,533.3347,526.3627,529.6891
2021-08-30T20:30:00Z,529.699,531.3354,524.7274,527.3577
2021-08-31T20:30:00Z,527.3676,529.8293,520.7402,526.0972
2021-09-01T20:30:00Z,526.0872,535.0952,523.3863,532.6542
2021-09-02T20:30:00Z,532.6442,536.0323,530.769,531.883
2021-09-06T20:30:00Z,531.873,532.6837,523.6509,525.0864
2021-09-07T20:30:00Z,524.8318,531.9525,524.8181,528.8267
2021-09-08T20:30:00Z,528.5433,530.947,522.6803,525.1084
2021-09-09T20:30:00Z,524.8568,532.2897,522.4921,531.435
2021-09-12T20:30:00Z,531.132,535.1111,531.0668,533.3944
2021-09-13T20:30:00Z,533.096,536.6702,532.1982,533.9091
2021-09-14T20:30:00Z,533.9191,547.8554,533.8956,545.0228
2021-09-15T20:30:00Z,545.0128,546.1665,537.6751,542.5664
2021-09-16T20:30:00Z,542.5764,543.0761,536.8006,538.8625
2021-09-19T20:30:00Z,538.8524,538.8524,528.2156,529.5644
2021-09-20T20:30:00Z,529.5544,534.9294,524.1751,529.1128
